epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,1492.7,0.54088,0.80339,0.55056,0.85962,0,0.57567,0.66161,0.61186,0.48687,0.55594,0.65113,0.58972,0.32714,0.68666,0.96438,1.20915,0.93952,0,0.0001585,0.0001585,0.0001585
87,1515.5,0.54041,0.81386,0.55777,0.86352,0,0.60727,0.63918,0.62973,0.50237,0.54888,0.67994,0.60752,0.33861,0.68306,0.9587,1.13556,0.93506,0,0.0001486,0.0001486,0.0001486
88,1535.66,0.54588,0.83469,0.55546,0.86333,0,0.60686,0.68253,0.65071,0.51547,0.59304,0.66858,0.62611,0.35186,0.68336,0.94821,1.07392,0.93779,0,0.0001387,0.0001387,0.0001387
89,1558.24,0.51605,0.78214,0.52892,0.85886,0,0.59739,0.67957,0.63398,0.49935,0.58328,0.66547,0.61623,0.33957,0.69656,0.9487,1.16726,0.9406,0,0.0001288,0.0001288,0.0001288
90,1576.25,0.52946,0.80281,0.52369,0.8633,0,0.61807,0.68206,0.64967,0.51278,0.60093,0.66788,0.6331,0.34603,0.68561,0.95485,1.10655,0.93316,0,0.0001189,0.0001189,0.0001189
91,1587.74,0.50934,0.74348,0.50129,0.85038,0,0.64254,0.65383,0.66755,0.52995,0.64871,0.62067,0.6485,0.35832,0.67999,0.96292,1.04525,0.93342,0,0.000109,0.000109,0.000109
92,1603.4,0.48662,0.73864,0.52819,0.84364,0,0.66818,0.64517,0.67156,0.532,0.65165,0.63061,0.65467,0.36404,0.6814,0.93419,1.03448,0.94146,0,9.91e-05,9.91e-05,9.91e-05
93,1626.8,0.47947,0.7224,0.48225,0.8457,0,0.62686,0.67727,0.66608,0.52724,0.60658,0.65957,0.64476,0.35894,0.68344,0.93235,1.08745,0.94054,0,8.92e-05,8.92e-05,8.92e-05
94,1641.43,0.46757,0.70471,0.45514,0.84236,0,0.66389,0.65293,0.68075,0.53832,0.61506,0.67195,0.66359,0.37474,0.68232,0.95761,1.0308,0.94123,0,7.93e-05,7.93e-05,7.93e-05
95,1653.49,0.4722,0.7173,0.45483,0.84717,0,0.66081,0.67006,0.68267,0.5407,0.64541,0.65808,0.67023,0.38049,0.67825,0.95302,1.01659,0.94027,0,6.94e-05,6.94e-05,6.94e-05
96,1675.8,0.48743,0.72527,0.4731,0.83957,0,0.6504,0.6743,0.67836,0.53614,0.63453,0.66705,0.66395,0.37017,0.67683,0.93294,1.03532,0.9415,0,5.95e-05,5.95e-05,5.95e-05
97,1687.4,0.47078,0.71059,0.44896,0.84112,0,0.57437,0.73262,0.65674,0.5203,0.56195,0.72055,0.6418,0.35578,0.67437,0.9267,1.12313,0.93927,0,4.96e-05,4.96e-05,4.96e-05
98,1708.46,0.47042,0.69868,0.4403,0.8475,0,0.61032,0.69162,0.66464,0.52709,0.56227,0.74474,0.6546,0.36227,0.6767,0.92977,1.09033,0.93975,0,3.97e-05,3.97e-05,3.97e-05
99,1730.53,0.47589,0.71789,0.45333,0.84086,0,0.62429,0.69285,0.67436,0.53421,0.61528,0.6822,0.6658,0.36865,0.68155,0.93411,1.05994,0.94164,0,2.98e-05,2.98e-05,2.98e-05
100,1739.25,0.47434,0.69467,0.43305,0.84032,0,0.63219,0.69956,0.68229,0.54082,0.62246,0.68958,0.67369,0.37448,0.68268,0.93884,1.02966,0.94111,0,1.99e-05,1.99e-05,1.99e-05
